,sigma2,sigma1,sigma_cmp,eps1,eps1_z,d_eps
0,150,888.99,166,0.020720400000000003,0.020720400000000003,0.0
1,150,877.49,166,0.022431100000000002,0.020720400000000003,0.001710699999999999
2,150,861.43,166,0.022986799999999998,0.020720400000000003,0.002266399999999995
3,150,670.8,166,0.023554400000000003,0.020720400000000003,0.0028339999999999997
4,150,647.54,166,0.0241155,0.020720400000000003,0.003395099999999998
5,150,638.27,166,0.0248553,0.020720400000000003,0.004134899999999997
6,150,627.21,166,0.0253481,0.020720400000000003,0.004627699999999995
7,150,608.51,166,0.0277346,0.020720400000000003,0.007014199999999998
8,150,585.92,166,0.0300594,0.020720400000000003,0.009338999999999997
9,150,582.51,166,0.0318632,0.020720400000000003,0.011142799999999998
10,150,560.66,166,0.0359137,0.020720400000000003,0.015193299999999996
11,100,601.34,166,0.017843,0.017843,0.0
12,100,595.39,166,0.018381900000000003,0.017843,0.0005389000000000019
13,100,581.13,166,0.018598,0.017843,0.0007549999999999987
14,100,428.67,166,0.0196448,0.017843,0.0018017999999999992
15,100,421.03,166,0.0200616,0.017843,0.0022185999999999977
16,100,406.43,166,0.0216191,0.017843,0.0037760999999999975
17,100,394.19,166,0.024095,0.017843,0.006251999999999997
18,100,387.73,166,0.0249535,0.017843,0.007110499999999999
19,50,441.73,166,0.0128226,0.0128226,0.0
20,50,439.38,166,0.0135943,0.0128226,0.0007717000000000002
21,50,386.72,166,0.0137021,0.0128226,0.0008795000000000001
22,50,302.59,166,0.0139125,0.0128226,0.0010898999999999995
23,50,251.61,166,0.0140491,0.0128226,0.0012265000000000002
24,50,238.41,166,0.015226400000000001,0.0128226,0.002403800000000001
25,50,220.07,166,0.018561800000000003,0.0128226,0.005739200000000003
26,50,208.91,166,0.0214972,0.0128226,0.008674600000000001
27,25,322.95,166,0.0098478,0.0098478,0.0
28,25,307.03,166,0.0104915,0.0098478,0.0006437000000000005
29,25,245.32,166,0.011179600000000001,0.0098478,0.001331800000000001
30,25,218.66,166,0.011758800000000002,0.0098478,0.0019110000000000012
31,25,202.91,166,0.0122988,0.0098478,0.002451
32,25,191.53,166,0.0132707,0.0098478,0.0034228999999999996
33,25,180.22,166,0.0149263,0.0098478,0.0050785
34,25,167.23,166,0.0181577,0.0098478,0.008309899999999999
35,10,236.75,166,0.0076224,0.0076224,0.0
36,10,225.3,166,0.0084285,0.0076224,0.0008061000000000006
37,10,204.55,166,0.0090551,0.0076224,0.0014327000000000003
38,10,186.2,166,0.0094106,0.0076224,0.0017882000000000002
39,10,163.82,166,0.0096655,0.0076224,0.002043100000000001
40,10,134.28,166,0.0104022,0.0076224,0.0027798000000000007
41,10,113.86,166,0.0113497,0.0076224,0.003727300000000001
42,10,104.67,166,0.0125375,0.0076224,0.0049151
43,10,84.85,166,0.015515000000000001,0.0076224,0.007892600000000001
44,10,70.95,166,0.018571,0.0076224,0.010948600000000001
45,10,65.15,166,0.0198081,0.0076224,0.012185699999999999
46,5,218.15,166,0.0057818,0.0057818,0.0
47,5,212.87,166,0.0062416,0.0057818,0.0004597999999999998
48,5,204.8,166,0.006548,0.0057818,0.0007661999999999999
49,5,191.44,166,0.0067651000000000005,0.0057818,0.0009833000000000003
50,5,174.54,166,0.0070573,0.0057818,0.0012754999999999997
51,5,144.1,166,0.0076601,0.0057818,0.0018783000000000003
52,5,125.89,166,0.0083573,0.0057818,0.0025754999999999997
53,5,105.45,166,0.0097813,0.0057818,0.0039995
54,5,90.38,166,0.010963100000000002,0.0057818,0.0051813000000000015
55,5,81.14,166,0.012544600000000001,0.0057818,0.006762800000000001
56,5,74.68,166,0.013720000000000001,0.0057818,0.007938200000000001
57,0,166.0,166,0.0043300000000000005,0.0043300000000000005,0.0
58,0,115.0,166,0.0046,0.0043300000000000005,0.0002699999999999994
59,0,79.0,166,0.0048,0.0043300000000000005,0.00046999999999999906
60,0,30.0,166,0.0056,0.0043300000000000005,0.0012699999999999994
